Name of Operation,District,Area,Geographic Location,Licensed 2016,Opening Year,Hotel Rooms,Hotel Units,Total beds,Hotel Employment Males National,Hotel Employment Females National,Hotel Employment Males Foreign,Hotel Employment Females Foreign,Latitude,Longitude
Calstrom House,Belize,San Pedro,Nothern Islands,Yes,2010,3,3,3,1,1,0,0,,
Calypso Beach Retreat,Belize,Offshore North,Northern Islands ,Yes,2004,4,4,14,1,2,0,0,17.222006,-87.591608
Camalote Camp,Cayo,Cayo,Western Belize ,Yes,2007,11,11,76,2,2,0,0,17.246556,-88.825132
Canary Cove ,Belize,San Pedro,Nothern Islands,Yes,2013,9,8,10,6,2,0,0,18.00164,-87.943252
Candelie's Sunset Cabanas ,Corozal,Corozal,Northern Belize,No,2000,4,2,4,1,2,0,0,18.21102,-88.090276
Canuck Cottage,Belize,Caye Caulker,Northern Islands ,Yes,2005,6,3,4,0,0,0,1,17.737522,-88.027565
Capp's Inn,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,2,2,4,0,1,1,0,,
Captain Jak's,Stann Creek,Placencia,SouthEastern Coast ,Yes,2003,11,11,12,2,1,0,0,16.518936,-88.369759
Captain Morgan's Retreat,Belize,San Pedro,Nothern Islands,Yes,1987,34,34,34,59,26,0,0,17.957269,-87.937305
Captain's House & Crown's Nest ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2003,4,4,5,0,2,0,0,,
Cardie's Hotel,Stann Creek,Independence,SouthEastern Coast ,Yes,1997,24,12,24,1,3,0,0,16.31516,-88.26066
Caribbean Beach Cabanas,Stann Creek,Placencia,SouthEastern Coast ,Yes,2003,6,6,7,3,5,0,0,16.521228,-88.368504
Caribbean Hotel ,Belize,Belize City,Central Coast Belize,Yes,2015,22,22,19,0,2,0,0,17.30434,-88.12585
Caribbean Rental Delites,Stann Creek,Placencia,SouthEastern Coast ,Yes,2010,2,2,6,1,1,0,0,16.614776,-88.353483
Caribbean Shores Bed and Breakfast,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2011,7,6,6,1,3,0,0,16.840009,-88.24228
Caribbean Splash,Stann Creek,Placencia,SouthEastern Coast ,Yes,2016,1,1,1,0,0,0,0,16.527108,-88.364911
Caribbean Villas Hotel,Belize,San Pedro,Nothern Islands,Yes,1991,60,60,72,15,13,3,0,17.909861,-87.972508
Caribbean Way Villa,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,3,3,3,1,1,0,0,16.672442,-88.309855
Caribe Island Resort,Belize,San Pedro,Nothern Islands,Yes,1996,50,27,45,8,7,0,0,17.890727,-87.980009
Carolyn's House,Belize,Caye Caulker,Northern Islands ,Yes,2009,2,2,2,0,1,0,0,17.73771,-88.025654
Casa Amarillo,Belize,San Pedro,Nothern Islands,Yes,2011,2,2,6,1,1,0,0,17.879416,-87.994357
Casa Ambergris,Belize,San Pedro,Nothern Islands,Yes,2014,2,1,3,0,1,0,0,17.554255,-87.574
Casa B'Alam,Belize,San Pedro,Nothern Islands,Yes,2012,2,2,2,1,0,0,0,,
Casa Beya/Seagrape Escape,Stann Creek,Placencia,SouthEastern Coast ,Yes,2009,10,5,7,1,1,0,0,,
Casa Blanca Beach Resort ,Belize,San Pedro,Nothern Islands,Yes,2005,4,4,6,2,1,0,0,17.58426,-87.55257
Casa Blance Guest House,Cayo,Cayo,Western Belize ,Yes,2001,9,9,18,0,2,0,0,,
Casa Bonita,Belize,San Pedro,Nothern Islands,Yes,2010,4,4,4,1,1,0,0,17.938803,-87.949703
Casa Bonita Apartments,Toledo,Toledo,Southern Belize,No,2004,6,3,4,1,1,0,0,16.07108,-88.474348
Casa Checking Out,Belize,San Pedro,Nothern Islands,Yes,2015,4,4,5,1,0,0,0,17.52496,-87.593594
Casa Chica,Corozal,Corozal,Northern Belize,Yes,2015,3,3,3,1,0,0,0,18.235105,-88.24104
Casa Ciiclee,Belize,Caye Caulker,Northern Islands ,Yes,2015,4,4,4,0,0,1,1,,
Casa Coral ,Belize,San Pedro,Nothern Islands,Yes,2004,3,3,4,0,0,0,0,17.924219,-87.958993
Casa De La Vista,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,3,2,3,1,1,0,0,16.633857,-88.33737
Casa de Lisa,Belize,San Pedro,Nothern Islands,Yes,2002,5,5,10,1,1,0,0,,
Casa De Suenos,Belize,San Pedro,Nothern Islands,Yes,2010,2,2,2,1,0,0,0,,
Casa Del Mar,Belize,Belize Rural,Central Coast Belize,Yes,2014,1,1,3,0,1,0,0,,
Casa Esmeralda,Belize,Caye Caulker,Northern Islands ,Yes,2015,6,3,3,1,0,0,0,,
Casa Gonzo,Belize,San Pedro,Nothern Islands,Yes,2014,4,4,6,1,1,0,0,,
Casa Hill View ,Cayo,Cayo,Western Belize ,Yes,2015,3,1,4,1,1,0,0,,
Casa Laguna Vista,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,2,2,2,1,1,0,0,,
Casa Layla,Belize,San Pedro,Nothern Islands,Yes,2014,4,4,10,1,0,0,0,17.991849,-87.918243
Casa Mayan Breeze,Belize,San Pedro,Nothern Islands,Yes,2010,2,2,3,0,0,0,0,,
Casa Mi Hermana,Belize,San Pedro,Nothern Islands,Yes,2009,4,2,3,1,1,0,0,,
Casa Miradores,Belize,San Pedro,Nothern Islands,Yes,2010,2,2,2,1,1,0,0,18.002456,-87.942179
Casa Nan,Cayo,Cayo,Western Belize ,Yes,2009,2,2,4,1,1,0,0,,
Casa Nettuno,Stann Creek,Placencia,SouthEastern Coast ,Yes,2010,1,1,2,1,1,0,0,,
Casa Nirvana,Belize,San Pedro,Nothern Islands,Yes,2000,3,3,3,0,0,1,0,18.001596,-87.943283
Casa Nuestro,Stann Creek,Placencia,SouthEastern Coast ,,2014,4,2,2,0,0,1,1,,
Casa Palma,Stann Creek,Placencia,SouthEastern Coast ,Yes,2011,7,7,7,2,2,0,0,16.52157,-88.368665
Casa Placencia,Stann Creek,Placencia,SouthEastern Coast ,Yes,2008,8,8,9,2,0,0,0,16.525847,-88.36992
